populations -b 8 -P ../stacks_b8_wgenome_r05 -M PopMap_combo_b4.txt -t 36 -r 0.5 -p 3 -m 3 --write_random_snp --genepop --fasta
populations version 1.44 executed 2018-01-25 16:09:31

# Distribution of population loci.
# Distribution of valid loci matched to catalog locus.
# Valid samples at locus	Count
68	13
69	17
70	14
71	11
72	23
73	14
74	15
75	18
76	17
77	20
78	13
79	11
80	15
81	14
82	15
83	13
84	5
85	16
86	6
87	16
88	12
89	20
90	14
91	13
92	14
93	14
94	5
95	16
96	13
97	12
98	13
99	12
100	7
101	10
102	14
103	12
104	9
105	8
106	11
107	14
108	13
109	6
110	9
111	5
112	11
113	11
114	7
115	10
116	8
117	6
118	7
119	7
120	6
121	8
122	7
123	11
124	5
125	4
126	5
127	3
128	2
129	3
130	5
131	1
132	3
133	2
134	3
135	4
136	2
139	5
140	5
141	5
142	1
143	2
144	1
145	1
146	1
147	2
148	2
149	2
151	2
152	2
153	1
154	1
155	1
157	1
161	3
162	1
163	1
170	2
173	1
177	1
178	1
184	1
188	1
189	1
195	1
202	1
203	1
222	1
Population Pohang15 contained 78 incompatible loci -- more than two alleles present.
Population Geoje15 contained 78 incompatible loci -- more than two alleles present.
Population Namhae15 contained 59 incompatible loci -- more than two alleles present.
Population YellowSea16 contained 88 incompatible loci -- more than two alleles present.
Population Jukbyeon07 contained 122 incompatible loci -- more than two alleles present.
Population JinhaeBay07 contained 98 incompatible loci -- more than two alleles present.
Population JinhaeBay08 contained 87 incompatible loci -- more than two alleles present.
Population Boryeong07 contained 91 incompatible loci -- more than two alleles present.
Population Geoje14 contained 99 incompatible loci -- more than two alleles present.
Population Kodiak03 contained 165 incompatible loci -- more than two alleles present.
Population Adak06 contained 172 incompatible loci -- more than two alleles present.
Population WashCoast05 contained 139 incompatible loci -- more than two alleles present.
Population HecStrait04 contained 154 incompatible loci -- more than two alleles present.
Population SalishSea12_13 contained 133 incompatible loci -- more than two alleles present.
Population JuandeFuca12 contained 109 incompatible loci -- more than two alleles present.
Population PWSound12 contained 186 incompatible loci -- more than two alleles present.
Population UnimakPass03 contained 163 incompatible loci -- more than two alleles present.
Population Pohang15 contained 0 incompatible loci -- more than two alleles present.
Population Geoje15 contained 0 incompatible loci -- more than two alleles present.
Population Namhae15 contained 0 incompatible loci -- more than two alleles present.
Population YellowSea16 contained 0 incompatible loci -- more than two alleles present.
Population Jukbyeon07 contained 0 incompatible loci -- more than two alleles present.
Population JinhaeBay07 contained 0 incompatible loci -- more than two alleles present.
Population JinhaeBay08 contained 0 incompatible loci -- more than two alleles present.
Population Boryeong07 contained 0 incompatible loci -- more than two alleles present.
Population Geoje14 contained 0 incompatible loci -- more than two alleles present.
Population Kodiak03 contained 0 incompatible loci -- more than two alleles present.
Population Adak06 contained 0 incompatible loci -- more than two alleles present.
Population WashCoast05 contained 0 incompatible loci -- more than two alleles present.
Population HecStrait04 contained 0 incompatible loci -- more than two alleles present.
Population SalishSea12_13 contained 0 incompatible loci -- more than two alleles present.
Population JuandeFuca12 contained 0 incompatible loci -- more than two alleles present.
Population PWSound12 contained 0 incompatible loci -- more than two alleles present.
Population UnimakPass03 contained 0 incompatible loci -- more than two alleles present.
