sample	n_reads	population	group
HS04_011	395104	HecStrait04	Alaska
HS04_012	3106008	HecStrait04	Alaska
HS04_013	700058	HecStrait04	Alaska
HS04_014	3779198	HecStrait04	Alaska
HS04_015	7995504	HecStrait04	Alaska
HS04_016	7422303	HecStrait04	Alaska
HS04_017	7150744	HecStrait04	Alaska
HS04_018	4385580	HecStrait04	Alaska
HS04_019	1364464	HecStrait04	Alaska
HS04_020	3229661	HecStrait04	Alaska
HS04_021	1263617	HecStrait04	Alaska
HS04_022	4718252	HecStrait04	Alaska
HS04_023	1143836	HecStrait04	Alaska
HS04_024	1270538	HecStrait04	Alaska
HS04_025	2666335	HecStrait04	Alaska
HS04_026	619471	HecStrait04	Alaska
HS04_027	2574598	HecStrait04	Alaska
HS04_028	964718	HecStrait04	Alaska
HS04_029	3737610	HecStrait04	Alaska
HS04_030	661033	HecStrait04	Alaska
HS04_031	1414184	HecStrait04	Alaska
HS04_032	4771266	HecStrait04	Alaska
HS04_033	2473424	HecStrait04	Alaska
HS04_034	1259031	HecStrait04	Alaska
HS04_035	2040597	HecStrait04	Alaska
HS04_036	738908	HecStrait04	Alaska
HS04_037	1539882	HecStrait04	Alaska
HS04_038	469203	HecStrait04	Alaska
HS04_039	535199	HecStrait04	Alaska
HS04_040	5306895	HecStrait04	Alaska
HS04_041	1372457	HecStrait04	Alaska
HS04_042	1227721	HecStrait04	Alaska
HS04_043	411829	HecStrait04	Alaska
HS04_044	2120640	HecStrait04	Alaska
HS04_045	1026754	HecStrait04	Alaska
HS04_046	1561409	HecStrait04	Alaska
HS04_047	2658942	HecStrait04	Alaska
HS04_048	1422816	HecStrait04	Alaska
PS12_001	1605297	SalishSea12_13	Alaska
PS12_002	771052	SalishSea12_13	Alaska
PS12_003	2781692	SalishSea12_13	Alaska
PS12_004	603421	SalishSea12_13	Alaska
PS12_005	2069564	SalishSea12_13	Alaska
PS12_006	4273002	SalishSea12_13	Alaska
PS12_007	848249	SalishSea12_13	Alaska
PS12_008	8669070	SalishSea12_13	Alaska
PS12_009	961705	SalishSea12_13	Alaska
PS12_010	810928	SalishSea12_13	Alaska
PS12_011	656926	SalishSea12_13	Alaska
PS12_012	4303059	SalishSea12_13	Alaska
PS12_013	977248	SalishSea12_13	Alaska
PS12_014	3300427	SalishSea12_13	Alaska
PS12_015	6574954	SalishSea12_13	Alaska
PS12_016	5003478	SalishSea12_13	Alaska
PS12_017	11547630	SalishSea12_13	Alaska
PS12_018	3894730	SalishSea12_13	Alaska
PS12_019	1290872	SalishSea12_13	Alaska
PS12_020	3842374	SalishSea12_13	Alaska
PS12_021	1658468	SalishSea12_13	Alaska
PS12_022	5853349	SalishSea12_13	Alaska
PS12_023	737667	SalishSea12_13	Alaska
PS12_024	2827663	SalishSea12_13	Alaska
PS12_025	3645656	SalishSea12_13	Alaska
PS12_026	1070992	JuandeFuca12	Alaska
PS12_027	2272677	JuandeFuca12	Alaska
PS12_028	1251578	JuandeFuca12	Alaska
PS12_029	2897550	JuandeFuca12	Alaska
PS12_030	740088	JuandeFuca12	Alaska
PS12_031	1362817	JuandeFuca12	Alaska
PS12_032	3660939	JuandeFuca12	Alaska
PS12_033	1338989	JuandeFuca12	Alaska
PS12_034	1256595	JuandeFuca12	Alaska
PS12_035	3135305	JuandeFuca12	Alaska
PS12_036	1811789	JuandeFuca12	Alaska
PS12_037	1853265	JuandeFuca12	Alaska
PS12_038	651987	JuandeFuca12	Alaska
PS12_039	468287	JuandeFuca12	Alaska
PS12_040	6409221	JuandeFuca12	Alaska
PS12_041	1468174	JuandeFuca12	Alaska
PS12_042	691730	JuandeFuca12	Alaska
PS12_043	436971	JuandeFuca12	Alaska
PS12_044	1635103	JuandeFuca12	Alaska
PS12_045	927996	JuandeFuca12	Alaska
PS12_046	2005891	JuandeFuca12	Alaska
PS12_047	1988791	JuandeFuca12	Alaska
PS12_048	1394304	JuandeFuca12	Alaska
GS13_001	3773236	SalishSea12_13	Alaska
GS13_002	469034	SalishSea12_13	Alaska
GS13_003	1264331	SalishSea12_13	Alaska
GS13_004	708024	SalishSea12_13	Alaska
GS13_005	3021100	SalishSea12_13	Alaska
GS13_006	3567637	SalishSea12_13	Alaska
GS13_007	491356	SalishSea12_13	Alaska
GS13_008	2249366	SalishSea12_13	Alaska
GS13_009	461197	SalishSea12_13	Alaska
GS13_010	670218	SalishSea12_13	Alaska
GS13_011	1876058	SalishSea12_13	Alaska
GS13_012	3455079	SalishSea12_13	Alaska
GS13_013	1644276	SalishSea12_13	Alaska
GS13_014	1213603	SalishSea12_13	Alaska
GS13_015	777601	SalishSea12_13	Alaska
GS13_016	2607910	SalishSea12_13	Alaska
GS13_017	2044991	SalishSea12_13	Alaska
PWS12_001	5998582	PWSound12	Alaska
PWS12_002	9378203	PWSound12	Alaska
PWS12_003	1247166	PWSound12	Alaska
PWS12_004	2680460	PWSound12	Alaska
PWS12_005	7552752	PWSound12	Alaska
PWS12_006	3488388	PWSound12	Alaska
PWS12_007	1003068	PWSound12	Alaska
PWS12_008	5251772	PWSound12	Alaska
PWS12_009	2183710	PWSound12	Alaska
PWS12_010	8108290	PWSound12	Alaska
PWS12_011	2214812	PWSound12	Alaska
PWS12_012	975189	PWSound12	Alaska
PWS12_013	2502269	PWSound12	Alaska
PWS12_014	8663133	PWSound12	Alaska
PWS12_015	1500126	PWSound12	Alaska
PWS12_016	2557222	PWSound12	Alaska
PWS12_017	10888080	PWSound12	Alaska
PWS12_018	2092297	PWSound12	Alaska
PWS12_019	1444029	PWSound12	Alaska
PWS12_020	3715732	PWSound12	Alaska
PWS12_021	2256345	PWSound12	Alaska
PWS12_022	2772485	PWSound12	Alaska
PWS12_023	1094121	PWSound12	Alaska
PWS12_025	1916026	PWSound12	Alaska
PWS12_031	3114326	PWSound12	Alaska
PWS12_033	2732203	PWSound12	Alaska
PWS12_041	3365303	PWSound12	Alaska
PWS12_054	8204692	PWSound12	Alaska
PWS12_055	1319639	PWSound12	Alaska
PWS12_056	650297	PWSound12	Alaska
PWS12_057	1666453	PWSound12	Alaska
PWS12_063	1976465	PWSound12	Alaska
PWS12_064	919152	PWSound12	Alaska
PWS12_066	4875086	PWSound12	Alaska
PWS12_069	1900345	PWSound12	Alaska
PWS12_075	6835069	PWSound12	Alaska
PWS12_076	1286500	PWSound12	Alaska
PWS12_077	2041921	PWSound12	Alaska
PWS12_078	333494	PWSound12	Alaska
PWS12_079	4039596	PWSound12	Alaska
PWS12_094	1934546	PWSound12	Alaska
PWS12_095	1954679	PWSound12	Alaska
PWS12_096	2061333	PWSound12	Alaska
PWS12_097	1264944	PWSound12	Alaska
PWS12_131	3358162	PWSound12	Alaska
PWS12_132	1384588	PWSound12	Alaska
PWS12_133	982504	PWSound12	Alaska
PWS12_134	1533532	PWSound12	Alaska
UP03_001	5084845	UnimakPass03	Alaska
UP03_009	1732014	UnimakPass03	Alaska
UP03_017	1435570	UnimakPass03	Alaska
UP03_025	1598862	UnimakPass03	Alaska
UP03_033	828412	UnimakPass03	Alaska
UP03_041	2259099	UnimakPass03	Alaska
UP03_002	819538	UnimakPass03	Alaska
UP03_010	3383723	UnimakPass03	Alaska
UP03_018	2644302	UnimakPass03	Alaska
UP03_026	422137	UnimakPass03	Alaska
UP03_034	945964	UnimakPass03	Alaska
UP03_042	1066188	UnimakPass03	Alaska
UP03_003	2649967	UnimakPass03	Alaska
UP03_011	10007580	UnimakPass03	Alaska
UP03_019	3390043	UnimakPass03	Alaska
UP03_027	1344496	UnimakPass03	Alaska
UP03_035	1501654	UnimakPass03	Alaska
UP03_043	1544799	UnimakPass03	Alaska
UP03_004	2337628	UnimakPass03	Alaska
UP03_012	2539470	UnimakPass03	Alaska
UP03_020	998047	UnimakPass03	Alaska
UP03_028	1147545	UnimakPass03	Alaska
UP03_036	5167844	UnimakPass03	Alaska
UP03_044	5182015	UnimakPass03	Alaska
UP03_005	1572817	UnimakPass03	Alaska
UP03_013	3682096	UnimakPass03	Alaska
UP03_021	2965396	UnimakPass03	Alaska
UP03_029	5236518	UnimakPass03	Alaska
UP03_037	1803496	UnimakPass03	Alaska
UP03_045	1508903	UnimakPass03	Alaska
UP03_006	1481217	UnimakPass03	Alaska
UP03_014	3164855	UnimakPass03	Alaska
UP03_022	2163338	UnimakPass03	Alaska
UP03_030	6731002	UnimakPass03	Alaska
UP03_038	1331632	UnimakPass03	Alaska
UP03_046	2671751	UnimakPass03	Alaska
UP03_007	987402	UnimakPass03	Alaska
UP03_015	686368	UnimakPass03	Alaska
UP03_023	1569600	UnimakPass03	Alaska
UP03_031	210779	UnimakPass03	Alaska
UP03_039	368820	UnimakPass03	Alaska
UP03_047	1167920	UnimakPass03	Alaska
UP03_008	2908008	UnimakPass03	Alaska
UP03_016	966256	UnimakPass03	Alaska
UP03_024	463359	UnimakPass03	Alaska
UP03_032	968928	UnimakPass03	Alaska
UP03_040	2498652	UnimakPass03	Alaska
UP03_048	1488723	UnimakPass03	Alaska
PO010715_02_92bp	6817653	Pohang15	Korea
PO010715_02_rep_92bp	7823165	Pohang15	Korea
PO010715_04_92bp	3432097	Pohang15	Korea
PO010715_06.1_92bp	2473192	Pohang15	Korea
PO010715_08.1_92bp	2503625	Pohang15	Korea
PO010715_10.1_92bp	3106846	Pohang15	Korea
PO010715_11.1_92bp	3372281	Pohang15	Korea
PO010715_12_92bp	3295834	Pohang15	Korea
PO010715_17.1_92bp	2645508	Pohang15	Korea
PO010715_19.1_92bp	2927703	Pohang15	Korea
PO010715_26_92bp	5617638	Pohang15	Korea
PO010715_27.1_92bp	2937015	Pohang15	Korea
PO010715_28.1_92bp	3255176	Pohang15	Korea
PO010715_29.1_92bp	3110048	Pohang15	Korea
PO020515_01_92bp	2640637	Pohang15	Korea
PO020515_03.1_92bp	3142354	Pohang15	Korea
PO020515_05.1_92bp	3691453	Pohang15	Korea
PO020515_06_92bp	8336214	Pohang15	Korea
PO020515_08.1_92bp	2808032	Pohang15	Korea
PO020515_09.1_92bp	3016815	Pohang15	Korea
PO020515_10.1_92bp	4812537	Pohang15	Korea
PO020515_14.1_92bp	3306735	Pohang15	Korea
PO020515_15.1_92bp	4916525	Pohang15	Korea
PO020515_16.1_92bp	3504202	Pohang15	Korea
PO020515_17.1_92bp	4137911	Pohang15	Korea
PO031715_03_92bp	2722559	Pohang15	Korea
PO031715_04_92bp	3094421	Pohang15	Korea
PO031715_13.1_92bp	3495400	Pohang15	Korea
PO031715_20.1_92bp	1961294	Pohang15	Korea
PO031715_23_92bp	4707310	Pohang15	Korea
PO031715_24_92bp	2820366	Pohang15	Korea
PO010715_26_2_92bp	4097320	Pohang15	Korea
PO010715_07_92bp	4070626	Pohang15	Korea
PO010715_07_rep_92bp	4135965	Pohang15	Korea
GE011215_01.1_92bp	3807454	Geoje15	Korea
GE011215_07.1_92bp	3631183	Geoje15	Korea
GE011215_08.1_92bp	2076442	Geoje15	Korea
GE011215_09.1_92bp	3758901	Geoje15	Korea
GE011215_10.1_92bp	3440184	Geoje15	Korea
GE011215_14.1_92bp	6549008	Geoje15	Korea
GE011215_15.1_92bp	5694239	Geoje15	Korea
GE011215_16.1_92bp	3791389	Geoje15	Korea
GE011215_18_92bp	6852956	Geoje15	Korea
GE011215_19_92bp	4019476	Geoje15	Korea
GE011215_20.1_92bp	4147822	Geoje15	Korea
GE011215_21.1_92bp	3384807	Geoje15	Korea
GE011215_22_92bp	6470888	Geoje15	Korea
GE011215_24.1_92bp	3134738	Geoje15	Korea
GE011215_28_92bp	3861430	Geoje15	Korea
GE011215_29.1_92bp	2245206	Geoje15	Korea
GE011215_30.1_92bp	4661699	Geoje15	Korea
GE012315_01.1_92bp	2199367	Geoje15	Korea
GE012315_03.1_92bp	3747521	Geoje15	Korea
GE012315_04.1_92bp	2523135	Geoje15	Korea
GE012315_05.1_92bp	3029457	Geoje15	Korea
GE012315_06.1_92bp	3646562	Geoje15	Korea
GE012315_08.1_92bp	2649848	Geoje15	Korea
GE012315_09.1_92bp	3036050	Geoje15	Korea
GE012315_10.1_92bp	2333584	Geoje15	Korea
GE012315_11.1_92bp	3742895	Geoje15	Korea
GE012315_17.1_92bp	3009275	Geoje15	Korea
GE012315_20.1_92bp	3109124	Geoje15	Korea
GE012315_22.1_92bp	3048700	Geoje15	Korea
GEO012315_02_92bp	5152585	Geoje15	Korea
GEO012315_12_92bp	6131307	Geoje15	Korea
GEO012315_18_92bp	4614041	Geoje15	Korea
GEO012315_21_92bp	4819847	Geoje15	Korea
GE012315_11_2_92bp	11780055	Geoje15	Korea
GE012315_09_2_92bp	5169137	Geoje15	Korea
GE011215_11_92bp	8550021	Geoje15	Korea
GE011215_11_rep_92bp	7558364	Geoje15	Korea
NA021015_02.1_92bp	4039779	Namhae15	Korea
NA021015_03.1_92bp	3086869	Namhae15	Korea
NA021015_06.1_92bp	4864411	Namhae15	Korea
NA021015_08.1_92bp	2468650	Namhae15	Korea
NA021015_09.1_92bp	4076545	Namhae15	Korea
NA021015_10.1_92bp	3737101	Namhae15	Korea
NA021015_13.1_92bp	5022277	Namhae15	Korea
NA021015_14.1_92bp	4332781	Namhae15	Korea
NA021015_16.1_92bp	5291624	Namhae15	Korea
NA021015_17.1_92bp	4162902	Namhae15	Korea
NA021015_21.1_92bp	3800139	Namhae15	Korea
NA021015_22.1_92bp	3309272	Namhae15	Korea
NA021015_23_92bp	2712287	Namhae15	Korea
NA021015_25_92bp	5191269	Namhae15	Korea
NA021015_26_92bp	3817109	Namhae15	Korea
NA021015_30_92bp	3712357	Namhae15	Korea
NA021015_06_2_92bp	13390849	Namhae15	Korea
NA021015_09_2_92bp	12844951	Namhae15	Korea
NA021015_10_2_92bp	3404635	Namhae15	Korea
YS_121316_01_92bp	6316229	YellowSea16	Korea
YS_121316_03_92bp	2808906	YellowSea16	Korea
YS_121316_05_92bp	6635649	YellowSea16	Korea
YS_121316_13_92bp	4409814	YellowSea16	Korea
YS_121316_17_92bp	3900580	YellowSea16	Korea
YS_121316_18_92bp	5165500	YellowSea16	Korea
YS_121316_20.1_92bp	5211971	YellowSea16	Korea
YS_121316_21_92bp	5653775	YellowSea16	Korea
YS_121316_22_92bp	5677131	YellowSea16	Korea
YS_121316_23_92bp	3985378	YellowSea16	Korea
YS_121316_24_92bp	6058065	YellowSea16	Korea
YS_121316_25_92bp	3211547	YellowSea16	Korea
YS_121316_26_92bp	2863848	YellowSea16	Korea
YS_121316_27_92bp	4262963	YellowSea16	Korea
YS_121316_28_92bp	3981699	YellowSea16	Korea
YS_121316_29_92bp	2857842	YellowSea16	Korea
YS121315_08.1_92bp	2252448	YellowSea16	Korea
YS121315_10.1_92bp	1311987	YellowSea16	Korea
YS121315_12_92bp	5791989	YellowSea16	Korea
YS121315_12_300_92bp	4038365	YellowSea16	Korea
YS121315_14.1_92bp	2885627	YellowSea16	Korea
YS121315_15_92bp	4324878	YellowSea16	Korea
YS121315_16_92bp	6716657	YellowSea16	Korea
YS121316_30_92bp	4335330	YellowSea16	Korea
YS_121316_04_92bp	1444967	YellowSea16	Korea
YS_121316_19_92bp	980562	YellowSea16	Korea
YS_121316_21_2_92bp	10601998	YellowSea16	Korea
YS_121316_20_2_92bp	7233818	YellowSea16	Korea
YS121315_14_2_92bp	3238656	YellowSea16	Korea
YS_121316_07_92bp	2921349	YellowSea16	Korea
JUK07_01_92bp	3616220	Jukbyeon07	Korea
JUK07_02.1_92bp	8561987	Jukbyeon07	Korea
JUK07_02_rep.1_92bp	3929100	Jukbyeon07	Korea
JUK07_03_92bp	3800860	Jukbyeon07	Korea
JUK07_06.1_92bp	17189641	Jukbyeon07	Korea
JUK07_09.1_92bp	7283224	Jukbyeon07	Korea
JUK07_09_rep.1_92bp	7959380	Jukbyeon07	Korea
JUK07_14_92bp	3822809	Jukbyeon07	Korea
JUK07_15_92bp	6618897	Jukbyeon07	Korea
JUK07_16.1_92bp	6629190	Jukbyeon07	Korea
JUK07_16_rep.1_92bp	5945979	Jukbyeon07	Korea
JUK07_17_92bp	2540837	Jukbyeon07	Korea
JUK07_18_92bp	3931160	Jukbyeon07	Korea
JUK07_19_92bp	4498926	Jukbyeon07	Korea
JUK07_20_92bp	3519086	Jukbyeon07	Korea
JUK07_22_92bp	2968381	Jukbyeon07	Korea
JUK07_25_92bp	2183098	Jukbyeon07	Korea
JUK07_26_92bp	4618372	Jukbyeon07	Korea
JUK07_27_92bp	5317563	Jukbyeon07	Korea
JUK07_28_92bp	2441945	Jukbyeon07	Korea
JUK07_29.1_92bp	9984096	Jukbyeon07	Korea
JUK07_30_92bp	9952413	Jukbyeon07	Korea
JUK07_32_92bp	10988844	Jukbyeon07	Korea
JUK07_36.1_92bp	4837063	Jukbyeon07	Korea
JUK07_37.1_92bp	5751544	Jukbyeon07	Korea
JUK07_10_92bp	966730	Jukbyeon07	Korea
JUK07_13_92bp	2331019	Jukbyeon07	Korea
JUK07_21_92bp	1992512	Jukbyeon07	Korea
JUK07_23_92bp	6616902	Jukbyeon07	Korea
JUK07_34_92bp	3598520	Jukbyeon07	Korea
JUK07_04_92bp	2122471	Jukbyeon07	Korea
JUK07_12_92bp	843226	Jukbyeon07	Korea
JUK07_31_92bp	5458205	Jukbyeon07	Korea
JUK07_11_92bp	2625620	Jukbyeon07	Korea
JUK07_06_2_92bp	10884840	Jukbyeon07	Korea
JUK07_08_92bp	6164980	Jukbyeon07	Korea
JUK07_33_92bp	4761034	Jukbyeon07	Korea
JB121807_01_92bp	2672936	JinhaeBay07	Korea
JB121807_03.1_92bp	2695033	JinhaeBay07	Korea
JB121807_04.1_92bp	626185	JinhaeBay07	Korea
JB121807_05_92bp	1990280	JinhaeBay07	Korea
JB121807_06.1_92bp	2942523	JinhaeBay07	Korea
JB121807_07.1_92bp	19953	JinhaeBay07	Korea
JB121807_08_92bp	2592970	JinhaeBay07	Korea
JB121807_08_rep_92bp	2268661	JinhaeBay07	Korea
JB121807_09.1_92bp	612073	JinhaeBay07	Korea
JB121807_11.1_92bp	4079581	JinhaeBay07	Korea
JB121807_12.1_92bp	1220369	JinhaeBay07	Korea
JB121807_14.1_92bp	3532063	JinhaeBay07	Korea
JB121807_16.1_92bp	1814325	JinhaeBay07	Korea
JB121807_19.1_92bp	2325569	JinhaeBay07	Korea
JB121807_20.1_92bp	1789463	JinhaeBay07	Korea
JB121807_21.1_92bp	3461393	JinhaeBay07	Korea
JB121807_23_92bp	996469	JinhaeBay07	Korea
JB121807_24.1_92bp	2080584	JinhaeBay07	Korea
JB121807_25_92bp	1119322	JinhaeBay07	Korea
JB121807_27_92bp	1521654	JinhaeBay07	Korea
JB121807_28.1_92bp	1348383	JinhaeBay07	Korea
JB121807_30_92bp	1799365	JinhaeBay07	Korea
JB121807_31.1_92bp	4858641	JinhaeBay07	Korea
JB121807_32.1_92bp	3692041	JinhaeBay07	Korea
JB121807_33.1_92bp	4011732	JinhaeBay07	Korea
JB121807_34.1_92bp	3964034	JinhaeBay07	Korea
JB121807_35_92bp	433572	JinhaeBay07	Korea
JB121807_37_92bp	3947023	JinhaeBay07	Korea
JB121807_38.1_92bp	3410899	JinhaeBay07	Korea
JB121807_41.1_92bp	2021500	JinhaeBay07	Korea
JB121807_42_92bp	2624412	JinhaeBay07	Korea
JB121807_44_92bp	5447707	JinhaeBay07	Korea
JB121807_45.1_92bp	1246515	JinhaeBay07	Korea
JB121807_46_92bp	3609690	JinhaeBay07	Korea
JB121807_47_92bp	285263	JinhaeBay07	Korea
JB121807_48.1_92bp	1626523	JinhaeBay07	Korea
JB121807_10_c_92bp	152441	JinhaeBay07	Korea
JB121807_13_c_92bp	1929000	JinhaeBay07	Korea
JB121807_22_c_92bp	3313335	JinhaeBay07	Korea
JB121807_26_c_92bp	3862006	JinhaeBay07	Korea
JB121807_36_c_92bp	823531	JinhaeBay07	Korea
JB121807_39_92bp	8133702	JinhaeBay07	Korea
JB121807_03_rep_92bp	7297187	JinhaeBay07	Korea
JB121807_05_2_92bp	2716081	JinhaeBay07	Korea
JB121807_35_2_92bp	1045274	JinhaeBay07	Korea
JB121807_47_2_92bp	601315	JinhaeBay07	Korea
JB121807_23_2_92bp	1844035	JinhaeBay07	Korea
JB121807_27_2_92bp	2720735	JinhaeBay07	Korea
JB121807_30_2_92bp	3019204	JinhaeBay07	Korea
JB121807_16_2_92bp	5692288	JinhaeBay07	Korea
JB121807_18_92bp	2622235	JinhaeBay07	Korea
JB121807_43_92bp	3599829	JinhaeBay07	Korea
JB121807_29_92bp	1504511	JinhaeBay07	Korea
JB021108_01.1_92bp	826535	JinhaeBay08	Korea
JB021108_02.1_92bp	4311669	JinhaeBay08	Korea
JB021108_04.1_92bp	1816458	JinhaeBay08	Korea
JB021108_05_92bp	10651977	JinhaeBay08	Korea
JB021108_05_rep_92bp	12697218	JinhaeBay08	Korea
JB021108_06_92bp	2104987	JinhaeBay08	Korea
JB021108_07.1_92bp	2503842	JinhaeBay08	Korea
JB021108_08.1_92bp	1721654	JinhaeBay08	Korea
JB021108_09.1_92bp	4329770	JinhaeBay08	Korea
JB021108_10.1_92bp	1196957	JinhaeBay08	Korea
JB021108_11_92bp	173168	JinhaeBay08	Korea
