"sample"	"n_loci"	"population"	"group"
"51"	"BOR07_02.1_92bp"	25107	"Boryeong07"	"Korea"
"52"	"BOR07_03_92bp"	24608	"Boryeong07"	"Korea"
"53"	"BOR07_04_92bp"	25122	"Boryeong07"	"Korea"
"54"	"BOR07_05.1_92bp"	25134	"Boryeong07"	"Korea"
"55"	"BOR07_06.1_92bp"	25152	"Boryeong07"	"Korea"
"56"	"BOR07_07.1_92bp"	25147	"Boryeong07"	"Korea"
"57"	"BOR07_08.1_92bp"	25102	"Boryeong07"	"Korea"
"58"	"BOR07_09_92bp"	25050	"Boryeong07"	"Korea"
"59"	"BOR07_10.1_92bp"	25346	"Boryeong07"	"Korea"
"60"	"BOR07_11.1_92bp"	25157	"Boryeong07"	"Korea"
"61"	"BOR07_12.1_92bp"	25132	"Boryeong07"	"Korea"
"62"	"BOR07_13.1_92bp"	25158	"Boryeong07"	"Korea"
"63"	"BOR07_14_92bp"	25119	"Boryeong07"	"Korea"
"64"	"BOR07_15_92bp"	25183	"Boryeong07"	"Korea"
"65"	"BOR07_16_92bp"	25123	"Boryeong07"	"Korea"
"66"	"BOR07_17.1_92bp"	25116	"Boryeong07"	"Korea"
"67"	"BOR07_18_92bp"	25062	"Boryeong07"	"Korea"
"68"	"BOR07_19.1_92bp"	24855	"Boryeong07"	"Korea"
"69"	"BOR07_20.1_92bp"	25127	"Boryeong07"	"Korea"
"70"	"BOR07_21.1_92bp"	21982	"Boryeong07"	"Korea"
"71"	"BOR07_21_2_92bp"	25079	"Boryeong07"	"Korea"
"72"	"BOR07_22_92bp"	25128	"Boryeong07"	"Korea"
"73"	"GE011215_01.1_92bp"	25122	"Geoje15"	"Korea"
"74"	"GE011215_07.1_92bp"	24748	"Geoje15"	"Korea"
"75"	"GE011215_08.1_92bp"	24816	"Geoje15"	"Korea"
"76"	"GE011215_09.1_92bp"	25116	"Geoje15"	"Korea"
"77"	"GE011215_10.1_92bp"	25027	"Geoje15"	"Korea"
"78"	"GE011215_11_92bp"	25160	"Geoje15"	"Korea"
"79"	"GE011215_11_rep_92bp"	25146	"Geoje15"	"Korea"
"80"	"GE011215_14.1_92bp"	25027	"Geoje15"	"Korea"
"81"	"GE011215_15.1_92bp"	25057	"Geoje15"	"Korea"
"82"	"GE011215_16.1_92bp"	24844	"Geoje15"	"Korea"
"83"	"GE011215_18_92bp"	25155	"Geoje15"	"Korea"
"84"	"GE011215_19_92bp"	25161	"Geoje15"	"Korea"
"85"	"GE011215_20.1_92bp"	25006	"Geoje15"	"Korea"
"86"	"GE011215_21.1_92bp"	24970	"Geoje15"	"Korea"
"87"	"GE011215_22_92bp"	25184	"Geoje15"	"Korea"
"88"	"GE011215_24.1_92bp"	24954	"Geoje15"	"Korea"
"89"	"GE011215_28_92bp"	25210	"Geoje15"	"Korea"
"90"	"GE011215_29.1_92bp"	24522	"Geoje15"	"Korea"
"91"	"GE011215_30.1_92bp"	25308	"Geoje15"	"Korea"
"92"	"GE012315_01.1_92bp"	24858	"Geoje15"	"Korea"
"93"	"GE012315_03.1_92bp"	24831	"Geoje15"	"Korea"
"94"	"GE012315_04.1_92bp"	25035	"Geoje15"	"Korea"
"95"	"GE012315_05.1_92bp"	24892	"Geoje15"	"Korea"
"96"	"GE012315_06.1_92bp"	24996	"Geoje15"	"Korea"
"97"	"GE012315_08.1_92bp"	25058	"Geoje15"	"Korea"
"98"	"GE012315_09.1_92bp"	25322	"Geoje15"	"Korea"
"99"	"GE012315_09_2_92bp"	25578	"Geoje15"	"Korea"
"100"	"GE012315_10.1_92bp"	25131	"Geoje15"	"Korea"
"101"	"GE012315_11.1_92bp"	25321	"Geoje15"	"Korea"
"102"	"GE012315_11_2_92bp"	25557	"Geoje15"	"Korea"
"103"	"GE012315_17.1_92bp"	25007	"Geoje15"	"Korea"
"104"	"GE012315_20.1_92bp"	25112	"Geoje15"	"Korea"
"105"	"GE012315_22.1_92bp"	24664	"Geoje15"	"Korea"
"106"	"GEO012315_02_92bp"	24996	"Geoje15"	"Korea"
"107"	"GEO012315_12_92bp"	25257	"Geoje15"	"Korea"
"108"	"GEO012315_18_92bp"	24955	"Geoje15"	"Korea"
"109"	"GEO012315_21_92bp"	24996	"Geoje15"	"Korea"
"110"	"GEO020414_10_2_92bp"	25137	"Geoje14"	"Korea"
"111"	"GEO020414_10_92bp"	24025	"Geoje14"	"Korea"
"112"	"GEO020414_11_300_92bp"	25176	"Geoje14"	"Korea"
"113"	"GEO020414_11_92bp"	25245	"Geoje14"	"Korea"
"114"	"GEO020414_13_2_92bp"	25140	"Geoje14"	"Korea"
"115"	"GEO020414_13_300_92bp"	24967	"Geoje14"	"Korea"
"117"	"GEO020414_14_300_92bp"	25068	"Geoje14"	"Korea"
"118"	"GEO020414_14_92bp"	25152	"Geoje14"	"Korea"
"119"	"GEO020414_15_300_92bp"	24479	"Geoje14"	"Korea"
"120"	"GEO020414_15_92bp"	24920	"Geoje14"	"Korea"
"121"	"GEO020414_16_300_92bp"	25057	"Geoje14"	"Korea"
"122"	"GEO020414_16_92bp"	25141	"Geoje14"	"Korea"
"123"	"GEO020414_17_300_92bp"	24952	"Geoje14"	"Korea"
"124"	"GEO020414_17_92bp"	25200	"Geoje14"	"Korea"
"125"	"GEO020414_23_300_92bp"	25188	"Geoje14"	"Korea"
"126"	"GEO020414_23_92bp"	25242	"Geoje14"	"Korea"
"127"	"GEO020414_24_300_92bp"	25177	"Geoje14"	"Korea"
"128"	"GEO020414_24_92bp"	25273	"Geoje14"	"Korea"
"129"	"GEO020414_25_300_92bp"	24671	"Geoje14"	"Korea"
"130"	"GEO020414_25_92bp"	25117	"Geoje14"	"Korea"
"131"	"GEO020414_26_92bp"	24673	"Geoje14"	"Korea"
"132"	"GEO020414_27_92bp"	24953	"Geoje14"	"Korea"
"133"	"GEO020414_2_92bp"	24797	"Geoje14"	"Korea"
"134"	"GEO020414_29_92bp"	24437	"Geoje14"	"Korea"
"135"	"GEO020414_30_2_92bp"	25035	"Geoje14"	"Korea"
"136"	"GEO020414_30_92bp"	23286	"Geoje14"	"Korea"
"137"	"GEO020414_3_92bp"	24957	"Geoje14"	"Korea"
"138"	"GEO020414_4_92bp"	25047	"Geoje14"	"Korea"
"139"	"GEO020414_5_92bp"	24964	"Geoje14"	"Korea"
"140"	"GEO020414_6_92bp"	24511	"Geoje14"	"Korea"
"141"	"GEO020414_7_92bp"	25144	"Geoje14"	"Korea"
"142"	"GEO020414_8_300_92bp"	25140	"Geoje14"	"Korea"
"143"	"GEO020414_8_92bp"	25160	"Geoje14"	"Korea"
"144"	"GEO020414_9_300_92bp"	24949	"Geoje14"	"Korea"
"145"	"GEO020414_9_92bp"	25106	"Geoje14"	"Korea"
"146"	"GS13_001"	23625	"SalishSea12_13"	"Alaska"
"147"	"GS13_002"	19769	"SalishSea12_13"	"Alaska"
"148"	"GS13_003"	22474	"SalishSea12_13"	"Alaska"
"149"	"GS13_004"	20175	"SalishSea12_13"	"Alaska"
"150"	"GS13_005"	23355	"SalishSea12_13"	"Alaska"
"151"	"GS13_006"	23406	"SalishSea12_13"	"Alaska"
"152"	"GS13_007"	21090	"SalishSea12_13"	"Alaska"
"153"	"GS13_008"	23328	"SalishSea12_13"	"Alaska"
"154"	"GS13_009"	18761	"SalishSea12_13"	"Alaska"
"155"	"GS13_010"	20138	"SalishSea12_13"	"Alaska"
"156"	"GS13_011"	23311	"SalishSea12_13"	"Alaska"
"157"	"GS13_012"	23708	"SalishSea12_13"	"Alaska"
"158"	"GS13_013"	22325	"SalishSea12_13"	"Alaska"
"159"	"GS13_014"	22641	"SalishSea12_13"	"Alaska"
"160"	"GS13_015"	21200	"SalishSea12_13"	"Alaska"
"161"	"GS13_016"	23345	"SalishSea12_13"	"Alaska"
"162"	"GS13_017"	23242	"SalishSea12_13"	"Alaska"
"163"	"HS04_001"	23503	"HecStrait04"	"Alaska"
"164"	"HS04_002"	22986	"HecStrait04"	"Alaska"
"165"	"HS04_003"	23476	"HecStrait04"	"Alaska"
"166"	"HS04_004"	21891	"HecStrait04"	"Alaska"
"167"	"HS04_005"	23602	"HecStrait04"	"Alaska"
"168"	"HS04_006"	23914	"HecStrait04"	"Alaska"
"169"	"HS04_007"	23019	"HecStrait04"	"Alaska"
"170"	"HS04_008"	24096	"HecStrait04"	"Alaska"
"171"	"HS04_009"	23035	"HecStrait04"	"Alaska"
"172"	"HS04_010"	19907	"HecStrait04"	"Alaska"
"173"	"HS04_011"	18782	"HecStrait04"	"Alaska"
"174"	"HS04_012"	23779	"HecStrait04"	"Alaska"
"175"	"HS04_013"	20933	"HecStrait04"	"Alaska"
"176"	"HS04_014"	23713	"HecStrait04"	"Alaska"
"177"	"HS04_015"	24132	"HecStrait04"	"Alaska"
"178"	"HS04_016"	23833	"HecStrait04"	"Alaska"
"179"	"HS04_017"	24003	"HecStrait04"	"Alaska"
"180"	"HS04_018"	23850	"HecStrait04"	"Alaska"
"181"	"HS04_019"	22073	"HecStrait04"	"Alaska"
"182"	"HS04_020"	23486	"HecStrait04"	"Alaska"
"183"	"HS04_021"	22652	"HecStrait04"	"Alaska"
"184"	"HS04_022"	23670	"HecStrait04"	"Alaska"
"185"	"HS04_023"	22933	"HecStrait04"	"Alaska"
"186"	"HS04_024"	23112	"HecStrait04"	"Alaska"
"187"	"HS04_025"	23437	"HecStrait04"	"Alaska"
"188"	"HS04_026"	20944	"HecStrait04"	"Alaska"
"189"	"HS04_027"	23512	"HecStrait04"	"Alaska"
"190"	"HS04_028"	22408	"HecStrait04"	"Alaska"
"191"	"HS04_029"	23559	"HecStrait04"	"Alaska"
"192"	"HS04_030"	21608	"HecStrait04"	"Alaska"
"193"	"HS04_031"	23104	"HecStrait04"	"Alaska"
"194"	"HS04_032"	23875	"HecStrait04"	"Alaska"
"195"	"HS04_033"	23435	"HecStrait04"	"Alaska"
"196"	"HS04_034"	22467	"HecStrait04"	"Alaska"
"197"	"HS04_035"	23459	"HecStrait04"	"Alaska"
"198"	"HS04_036"	22169	"HecStrait04"	"Alaska"
"199"	"HS04_037"	23385	"HecStrait04"	"Alaska"
"200"	"HS04_038"	19698	"HecStrait04"	"Alaska"
"201"	"HS04_039"	18566	"HecStrait04"	"Alaska"
"202"	"HS04_040"	23822	"HecStrait04"	"Alaska"
"203"	"HS04_041"	23198	"HecStrait04"	"Alaska"
"204"	"HS04_042"	21904	"HecStrait04"	"Alaska"
"205"	"HS04_043"	20046	"HecStrait04"	"Alaska"
"206"	"HS04_044"	23356	"HecStrait04"	"Alaska"
"207"	"HS04_045"	22550	"HecStrait04"	"Alaska"
"208"	"HS04_046"	23247	"HecStrait04"	"Alaska"
"209"	"HS04_047"	23500	"HecStrait04"	"Alaska"
"210"	"HS04_048"	23290	"HecStrait04"	"Alaska"
"211"	"JB021108_01.1_92bp"	18316	"JinhaeBay08"	"Korea"
"212"	"JB021108_02.1_92bp"	24634	"JinhaeBay08"	"Korea"
"213"	"JB021108_04.1_92bp"	22987	"JinhaeBay08"	"Korea"
"214"	"JB021108_05_92bp"	25170	"JinhaeBay08"	"Korea"
"215"	"JB021108_05_rep_92bp"	25180	"JinhaeBay08"	"Korea"
"216"	"JB021108_06_92bp"	25066	"JinhaeBay08"	"Korea"
"217"	"JB021108_07.1_92bp"	24885	"JinhaeBay08"	"Korea"
"218"	"JB021108_08.1_92bp"	23201	"JinhaeBay08"	"Korea"
"219"	"JB021108_09.1_92bp"	24738	"JinhaeBay08"	"Korea"
"220"	"JB021108_10.1_92bp"	17424	"JinhaeBay08"	"Korea"
"221"	"JB021108_11_2_92bp"	25020	"JinhaeBay08"	"Korea"
"223"	"JB021108_11_rep_92bp"	23509	"JinhaeBay08"	"Korea"
"224"	"JB021108_12.1_92bp"	25096	"JinhaeBay08"	"Korea"
"225"	"JB021108_13.1_92bp"	24825	"JinhaeBay08"	"Korea"
"226"	"JB021108_14_2_92bp"	24558	"JinhaeBay08"	"Korea"
"228"	"JB021108_16_92bp"	25310	"JinhaeBay08"	"Korea"
"229"	"JB021108_17.1_92bp"	25127	"JinhaeBay08"	"Korea"
"230"	"JB021108_19.1_92bp"	24913	"JinhaeBay08"	"Korea"
"231"	"JB021108_20_92bp"	24331	"JinhaeBay08"	"Korea"
"233"	"JB021108_22.1_92bp"	23159	"JinhaeBay08"	"Korea"
"234"	"JB021108_23_92bp"	24609	"JinhaeBay08"	"Korea"
"235"	"JB021108_24_c_92bp"	22816	"JinhaeBay08"	"Korea"
"236"	"JB021108_25.1_92bp"	21136	"JinhaeBay08"	"Korea"
"237"	"JB021108_25_2_92bp"	23351	"JinhaeBay08"	"Korea"
"238"	"JB021108_26.1_92bp"	24604	"JinhaeBay08"	"Korea"
"240"	"JB021108_28_2_92bp"	23552	"JinhaeBay08"	"Korea"
"241"	"JB021108_28_92bp"	18174	"JinhaeBay08"	"Korea"
"242"	"JB021108_29_92bp"	23835	"JinhaeBay08"	"Korea"
"243"	"JB021108_30_92bp"	25129	"JinhaeBay08"	"Korea"
"245"	"JB021108_31_2_92bp"	24502	"JinhaeBay08"	"Korea"
"246"	"JB021108_32_92bp"	25156	"JinhaeBay08"	"Korea"
"248"	"JB021108_33_rep_92bp"	24958	"JinhaeBay08"	"Korea"
"249"	"JB021108_34_92bp"	24236	"JinhaeBay08"	"Korea"
"250"	"JB021108_35_92bp"	24539	"JinhaeBay08"	"Korea"
"251"	"JB021108_35_rep_92bp"	24671	"JinhaeBay08"	"Korea"
"252"	"JB021108_36.1_92bp"	25036	"JinhaeBay08"	"Korea"
"253"	"JB021108_36_rep.1_92bp"	25028	"JinhaeBay08"	"Korea"
"254"	"JB021108_37.1_92bp"	25019	"JinhaeBay08"	"Korea"
"255"	"JB021108_37_rep.1_92bp"	25015	"JinhaeBay08"	"Korea"
"256"	"JB021108_38.1_92bp"	21889	"JinhaeBay08"	"Korea"
"257"	"JB021108_39_92bp"	23518	"JinhaeBay08"	"Korea"
"258"	"JB021108_40_2_92bp"	24604	"JinhaeBay08"	"Korea"
"260"	"JB021108_41.1_92bp"	23398	"JinhaeBay08"	"Korea"
"261"	"JB021108_44.1_92bp"	25074	"JinhaeBay08"	"Korea"
"262"	"JB021108_45_92bp"	25139	"JinhaeBay08"	"Korea"
"263"	"JB021108_46.1_92bp"	25154	"JinhaeBay08"	"Korea"
"264"	"JB021108_46_rep.1_92bp"	25131	"JinhaeBay08"	"Korea"
"265"	"JB021108_47.1_92bp"	25129	"JinhaeBay08"	"Korea"
"266"	"JB021108_48.1_92bp"	24810	"JinhaeBay08"	"Korea"
"267"	"JB121807_01_92bp"	25096	"JinhaeBay07"	"Korea"
"268"	"JB121807_03.1_92bp"	24968	"JinhaeBay07"	"Korea"
"269"	"JB121807_03_rep_92bp"	24967	"JinhaeBay07"	"Korea"
"270"	"JB121807_04.1_92bp"	20018	"JinhaeBay07"	"Korea"
"271"	"JB121807_05_2_92bp"	25155	"JinhaeBay07"	"Korea"
"272"	"JB121807_05_92bp"	21545	"JinhaeBay07"	"Korea"
"273"	"JB121807_06.1_92bp"	25090	"JinhaeBay07"	"Korea"
"275"	"JB121807_08_92bp"	25122	"JinhaeBay07"	"Korea"
"276"	"JB121807_08_rep_92bp"	25110	"JinhaeBay07"	"Korea"
"277"	"JB121807_09.1_92bp"	18306	"JinhaeBay07"	"Korea"
"279"	"JB121807_11.1_92bp"	25169	"JinhaeBay07"	"Korea"
"280"	"JB121807_12.1_92bp"	21996	"JinhaeBay07"	"Korea"
"282"	"JB121807_14.1_92bp"	24432	"JinhaeBay07"	"Korea"
"283"	"JB121807_16.1_92bp"	19647	"JinhaeBay07"	"Korea"
"284"	"JB121807_16_2_92bp"	25068	"JinhaeBay07"	"Korea"
"285"	"JB121807_18_92bp"	24973	"JinhaeBay07"	"Korea"
"286"	"JB121807_19.1_92bp"	25034	"JinhaeBay07"	"Korea"
"287"	"JB121807_20.1_92bp"	24993	"JinhaeBay07"	"Korea"
"288"	"JB121807_21.1_92bp"	23908	"JinhaeBay07"	"Korea"
"289"	"JB121807_22_c_92bp"	20815	"JinhaeBay07"	"Korea"
"290"	"JB121807_23_2_92bp"	24436	"JinhaeBay07"	"Korea"
"291"	"JB121807_23_92bp"	18303	"JinhaeBay07"	"Korea"
"292"	"JB121807_24.1_92bp"	24840	"JinhaeBay07"	"Korea"
"293"	"JB121807_25_92bp"	22796	"JinhaeBay07"	"Korea"
"294"	"JB121807_26_c_92bp"	22806	"JinhaeBay07"	"Korea"
"295"	"JB121807_27_2_92bp"	24933	"JinhaeBay07"	"Korea"
"296"	"JB121807_27_92bp"	21004	"JinhaeBay07"	"Korea"
"297"	"JB121807_28.1_92bp"	24788	"JinhaeBay07"	"Korea"
"298"	"JB121807_29_92bp"	24808	"JinhaeBay07"	"Korea"
"299"	"JB121807_30_2_92bp"	25023	"JinhaeBay07"	"Korea"
"300"	"JB121807_30_92bp"	21844	"JinhaeBay07"	"Korea"
"301"	"JB121807_31.1_92bp"	24691	"JinhaeBay07"	"Korea"
"302"	"JB121807_32.1_92bp"	24478	"JinhaeBay07"	"Korea"
"303"	"JB121807_33.1_92bp"	24336	"JinhaeBay07"	"Korea"
"304"	"JB121807_34.1_92bp"	25014	"JinhaeBay07"	"Korea"
"305"	"JB121807_35_2_92bp"	24421	"JinhaeBay07"	"Korea"
"308"	"JB121807_37_92bp"	24954	"JinhaeBay07"	"Korea"
"309"	"JB121807_38.1_92bp"	24371	"JinhaeBay07"	"Korea"
"310"	"JB121807_39_92bp"	25111	"JinhaeBay07"	"Korea"
"311"	"JB121807_41.1_92bp"	20328	"JinhaeBay07"	"Korea"
"312"	"JB121807_42_92bp"	22782	"JinhaeBay07"	"Korea"
"313"	"JB121807_43_92bp"	25110	"JinhaeBay07"	"Korea"
"314"	"JB121807_44_92bp"	24891	"JinhaeBay07"	"Korea"
"316"	"JB121807_46_92bp"	24071	"JinhaeBay07"	"Korea"
"317"	"JB121807_47_2_92bp"	22468	"JinhaeBay07"	"Korea"
"319"	"JB121807_48.1_92bp"	20621	"JinhaeBay07"	"Korea"
"320"	"JUK07_01_92bp"	24429	"Jukbyeon07"	"Korea"
"321"	"JUK07_02.1_92bp"	25131	"Jukbyeon07"	"Korea"
"322"	"JUK07_02_rep.1_92bp"	25079	"Jukbyeon07"	"Korea"
"323"	"JUK07_03_92bp"	24591	"Jukbyeon07"	"Korea"
"324"	"JUK07_04_92bp"	24945	"Jukbyeon07"	"Korea"
"325"	"JUK07_06.1_92bp"	25154	"Jukbyeon07"	"Korea"
"326"	"JUK07_06_2_92bp"	25140	"Jukbyeon07"	"Korea"
"327"	"JUK07_08_92bp"	25064	"Jukbyeon07"	"Korea"
"328"	"JUK07_09.1_92bp"	25069	"Jukbyeon07"	"Korea"
"329"	"JUK07_09_rep.1_92bp"	25072	"Jukbyeon07"	"Korea"
"330"	"JUK07_10_92bp"	23893	"Jukbyeon07"	"Korea"
"331"	"JUK07_11_92bp"	24988	"Jukbyeon07"	"Korea"
"332"	"JUK07_12_92bp"	23566	"Jukbyeon07"	"Korea"
"333"	"JUK07_13_92bp"	24954	"Jukbyeon07"	"Korea"
"334"	"JUK07_14_92bp"	24543	"Jukbyeon07"	"Korea"
"335"	"JUK07_15_92bp"	24935	"Jukbyeon07"	"Korea"
"336"	"JUK07_16.1_92bp"	25061	"Jukbyeon07"	"Korea"
"337"	"JUK07_16_rep.1_92bp"	25049	"Jukbyeon07"	"Korea"
"338"	"JUK07_17_92bp"	23608	"Jukbyeon07"	"Korea"
"339"	"JUK07_18_92bp"	24621	"Jukbyeon07"	"Korea"
"340"	"JUK07_19_92bp"	24760	"Jukbyeon07"	"Korea"
"341"	"JUK07_20_92bp"	24393	"Jukbyeon07"	"Korea"
"342"	"JUK07_21_92bp"	24892	"Jukbyeon07"	"Korea"
"343"	"JUK07_22_92bp"	23974	"Jukbyeon07"	"Korea"
"344"	"JUK07_23_92bp"	25081	"Jukbyeon07"	"Korea"
"345"	"JUK07_25_92bp"	22584	"Jukbyeon07"	"Korea"
"346"	"JUK07_26_92bp"	24745	"Jukbyeon07"	"Korea"
"347"	"JUK07_27_92bp"	24772	"Jukbyeon07"	"Korea"
"348"	"JUK07_28_92bp"	23627	"Jukbyeon07"	"Korea"
"349"	"JUK07_29.1_92bp"	25032	"Jukbyeon07"	"Korea"
"350"	"JUK07_30_92bp"	25006	"Jukbyeon07"	"Korea"
"351"	"JUK07_31_92bp"	25168	"Jukbyeon07"	"Korea"
"352"	"JUK07_32_92bp"	24989	"Jukbyeon07"	"Korea"
"353"	"JUK07_33_92bp"	25025	"Jukbyeon07"	"Korea"
"354"	"JUK07_34_92bp"	24997	"Jukbyeon07"	"Korea"
"355"	"JUK07_36.1_92bp"	25033	"Jukbyeon07"	"Korea"
"356"	"JUK07_37.1_92bp"	25019	"Jukbyeon07"	"Korea"
"357"	"KOD03_035"	23566	"Kodiak03"	"Alaska"
"358"	"KOD03_051"	22910	"Kodiak03"	"Alaska"
"359"	"KOD03_052"	23540	"Kodiak03"	"Alaska"
"360"	"KOD03_053"	20937	"Kodiak03"	"Alaska"
"361"	"KOD03_054"	23600	"Kodiak03"	"Alaska"
"362"	"KOD03_055"	23800	"Kodiak03"	"Alaska"
"363"	"KOD03_056"	22861	"Kodiak03"	"Alaska"
"364"	"KOD03_057"	24096	"Kodiak03"	"Alaska"
"365"	"KOD03_058"	23054	"Kodiak03"	"Alaska"
"366"	"KOD03_059"	21244	"Kodiak03"	"Alaska"
"367"	"KOD03_060"	21505	"Kodiak03"	"Alaska"
"368"	"KOD03_061"	23859	"Kodiak03"	"Alaska"
"369"	"KOD03_062"	19815	"Kodiak03"	"Alaska"
"370"	"KOD03_063"	23625	"Kodiak03"	"Alaska"
"371"	"KOD03_064"	24137	"Kodiak03"	"Alaska"
"372"	"KOD03_065"	23874	"Kodiak03"	"Alaska"
"373"	"KOD03_066"	24052	"Kodiak03"	"Alaska"
"374"	"KOD03_067"	23893	"Kodiak03"	"Alaska"
"375"	"KOD03_068"	21238	"Kodiak03"	"Alaska"
"376"	"KOD03_069"	23400	"Kodiak03"	"Alaska"
"377"	"KOD03_070"	21901	"Kodiak03"	"Alaska"
"378"	"KOD03_071"	23586	"Kodiak03"	"Alaska"
"379"	"KOD03_072"	22032	"Kodiak03"	"Alaska"
"380"	"KOD03_073"	21716	"Kodiak03"	"Alaska"
"381"	"KOD03_074"	23479	"Kodiak03"	"Alaska"
"382"	"KOD03_075"	22175	"Kodiak03"	"Alaska"
"383"	"KOD03_076"	23295	"Kodiak03"	"Alaska"
"384"	"KOD03_077"	22676	"Kodiak03"	"Alaska"
"385"	"KOD03_078"	23640	"Kodiak03"	"Alaska"
"386"	"KOD03_079"	22024	"Kodiak03"	"Alaska"
"387"	"KOD03_080"	21913	"Kodiak03"	"Alaska"
"388"	"KOD03_081"	23886	"Kodiak03"	"Alaska"
"389"	"KOD03_082"	23685	"Kodiak03"	"Alaska"
"390"	"KOD03_083"	22913	"Kodiak03"	"Alaska"
"391"	"KOD03_084"	23612	"Kodiak03"	"Alaska"
"392"	"KOD03_085"	23493	"Kodiak03"	"Alaska"
"393"	"KOD03_086"	22776	"Kodiak03"	"Alaska"
"395"	"KOD03_088"	18229	"Kodiak03"	"Alaska"
"396"	"KOD03_089"	23871	"Kodiak03"	"Alaska"
"397"	"KOD03_090"	23354	"Kodiak03"	"Alaska"
"398"	"KOD03_091"	19139	"Kodiak03"	"Alaska"
"400"	"KOD03_093"	23162	"Kodiak03"	"Alaska"
"401"	"KOD03_094"	21655	"Kodiak03"	"Alaska"
"402"	"KOD03_095"	22236	"Kodiak03"	"Alaska"
"403"	"KOD03_096"	23541	"Kodiak03"	"Alaska"
"404"	"KOD03_097"	23054	"Kodiak03"	"Alaska"
"405"	"NA021015_02.1_92bp"	24765	"Namhae15"	"Korea"
"406"	"NA021015_03.1_92bp"	24774	"Namhae15"	"Korea"
"407"	"NA021015_06.1_92bp"	25133	"Namhae15"	"Korea"
"408"	"NA021015_06_2_92bp"	25436	"Namhae15"	"Korea"
"409"	"NA021015_08.1_92bp"	24528	"Namhae15"	"Korea"
"410"	"NA021015_09.1_92bp"	25231	"Namhae15"	"Korea"
"411"	"NA021015_09_2_92bp"	25546	"Namhae15"	"Korea"
"412"	"NA021015_10.1_92bp"	25145	"Namhae15"	"Korea"
"413"	"NA021015_10_2_92bp"	25325	"Namhae15"	"Korea"
"414"	"NA021015_13.1_92bp"	24910	"Namhae15"	"Korea"
"415"	"NA021015_14.1_92bp"	25041	"Namhae15"	"Korea"
"416"	"NA021015_16.1_92bp"	24958	"Namhae15"	"Korea"
"417"	"NA021015_17.1_92bp"	24948	"Namhae15"	"Korea"
"418"	"NA021015_21.1_92bp"	24942	"Namhae15"	"Korea"
"419"	"NA021015_22.1_92bp"	24888	"Namhae15"	"Korea"
"420"	"NA021015_23_92bp"	25122	"Namhae15"	"Korea"
