sample	n_missing_genos	avg_locus_depth
HS04_036	1416	14.66
HS04_037	1306	30.1505376344
HS04_038	1548	13.7804878049
HS04_039	1626	11.3783783784
HS04_040	1299	109.314553991
HS04_041	1300	23.1684210526
HS04_042	1368	17.5053763441
HS04_043	1641	13.4615384615
HS04_044	1302	27.6302083333
HS04_045	1325	16.7050359712
HS04_046	1304	22.4032258065
HS04_047	1300	45.2692307692
HS04_048	1300	21.2736842105
PS12_001	1385	23.277992278
PS12_002	1439	14.1985294118
PS12_003	1385	45.3894736842
PS12_004	1525	13.7530864198
PS12_005	1386	36.8724137931
PS12_006	1384	78.7058823529
PS12_007	1420	16.8869047619
PS12_008	1382	170.445182724
PS12_009	1414	15.4473684211
PS12_010	1510	14.4285714286
PS12_011	1582	14.1935483871
PS12_012	1383	77.8493150685
PS12_013	1403	17.152173913
PS12_014	1386	48.7466216216
PS12_015	1384	134.952380952
PS12_016	1384	104.53
PS12_017	1382	217.218954248
PS12_018	1383	78.4042553191
PS12_019	1436	17.3157894737
PS12_020	1382	66.5360824742
PS12_021	1389	21.6666666667
PS12_022	1382	115.833333333
PS12_023	1469	16.0561797753
PS12_024	1386	43.1413793103
PS12_025	1385	51.5239726027
PS12_026	1341	18.6209150327
PS12_027	1322	34.7136150235
PS12_028	1340	21.2191011236
PS12_029	1321	54.5084033613
PS12_030	1384	16.4705882353
PS12_031	1329	21.5842105263
PS12_032	1322	75.635193133
PS12_033	1323	25.4150943396
PS12_034	1335	20.9047619048
PS12_035	1320	49.2252252252
PS12_036	1322	27.8095238095
PS12_037	1320	34.5803571429
PS12_038	1415	14.8488372093
PS12_039	1602	13.8205128205
PS12_040	1321	132.973214286
PS12_041	1325	26.2110091743
PS12_042	1489	16.65
PS12_043	1757	14.2972972973
PS12_044	1326	25.9408284024
PS12_045	1363	16.512
PS12_046	1321	31.2927927928
PS12_047	1321	37.3956521739
PS12_048	1324	23.7079207921
GS13_001	1383	66.5860927152
GS13_002	1732	11.6393442623
GS13_003	1395	16.480952381
GS13_004	1491	13.2702702703
GS13_005	1383	52.4034482759
GS13_006	1386	64.1283783784
GS13_007	1558	13.7551020408
GS13_008	1386	40.1403508772
GS13_009	1664	11.8
GS13_010	1512	13.8148148148
GS13_011	1386	31.390070922
GS13_012	1383	71.5757575758
GS13_013	1386	20.801980198
GS13_014	1392	17.2941176471
GS13_015	1438	15.0849056604
GS13_016	1384	37.3664383562
GS13_017	1384	32.1549295775
PWS12_001	1160	78.0136986301
PWS12_002	1160	127.206896552
PWS12_003	1182	18.358490566
PWS12_004	1164	38.7
PWS12_005	1164	109.909090909
PWS12_006	1170	53.3787878788
PWS12_007	1235	21.8703703704
PWS12_008	1162	90.1587301587
PWS12_009	1170	33.8732394366
PWS12_010	1162	120.297297297
PWS12_011	1169	33.7941176471
PWS12_012	1271	21.4772727273
PWS12_013	1166	31.6567164179
PWS12_014	1160	132.727272727
PWS12_015	1171	20.3888888889
PWS12_016	1166	29.4583333333
PWS12_017	1161	141.117647059
PWS12_018	1171	29.1833333333
PWS12_019	1174	21.8301886792
PWS12_020	1166	49.223880597
PWS12_021	1168	33.5
PWS12_022	1169	40.8955223881
PWS12_023	1214	17.7843137255
PWS12_025	1171	31.6551724138
PWS12_031	1168	42.3768115942
PWS12_033	1167	37.275862069
PWS12_041	1165	39.1884057971
PWS12_054	1164	127.421052632
PWS12_055	1272	23.0714285714
PWS12_056	1462	16.6774193548
PWS12_057	1170	27.8194444444
PWS12_063	1206	25.2653061224
PWS12_064	1269	18.1632653061
PWS12_066	1166	74.7466666667
PWS12_069	1169	30.0454545455
PWS12_075	1161	92.8313253012
PWS12_076	1262	22.2173913043
PWS12_077	1183	31.0806451613
PWS12_078	1761	11.4736842105
PWS12_079	1162	58.3947368421
PWS12_094	1171	27.4328358209
PWS12_095	1169	30.6615384615
PWS12_096	1165	33.7878787879
PWS12_097	1183	23.3518518519
PWS12_131	1161	44.6818181818
PWS12_132	1208	20.5
PWS12_133	1307	17.4516129032
PWS12_134	1180	32.0888888889
UP03_001	1306	91.9251101322
UP03_009	1304	24.6666666667
UP03_017	1311	21.1842105263
UP03_025	1309	25.8125
UP03_033	1453	13.1090909091
UP03_041	1303	36.1822660099
UP03_002	1377	13.1485148515
UP03_010	1302	45.6036036036
UP03_018	1301	45.3302325581
UP03_026	1822	12.0416666667
UP03_034	1483	14.9655172414
UP03_042	1338	16.5714285714
UP03_003	1302	52.9493087558
UP03_011	1302	188.733333333
UP03_019	1310	26.4507772021
UP03_027	1350	15.1881188119
UP03_035	1308	21.170212766
UP03_043	1306	20.3367346939
UP03_004	1304	44.3221153846
UP03_012	1310	20.9594594595
UP03_020	1336	14.7796610169
UP03_028	1395	17.1515151515
UP03_036	1301	95.7027027027
UP03_044	1312	94.8973214286
UP03_005	1306	21.7421052632
UP03_013	1303	46.1943127962
UP03_021	1304	45.6666666667
UP03_029	1304	84.7351598174
UP03_037	1308	21.4025157233
UP03_045	1309	29.06
UP03_006	1317	25.86
UP03_014	1302	36.0979381443
UP03_022	1303	26.5242718447
UP03_030	1303	119.361904762
UP03_038	1323	17.5632911392
UP03_046	1304	39.4647887324
UP03_007	1338	15.6225165563
UP03_015	1385	13.4827586207
UP03_023	1310	21.8165680473
UP03_031	1899	11.5714285714
UP03_039	1675	10.8333333333
UP03_047	1318	22.7
UP03_008	1302	57.8905472637
UP03_016	1422	15.9672131148
UP03_024	1584	13.0
UP03_032	1336	18.8502994012
UP03_040	1307	37.20657277
UP03_048	1308	26.4102564103
