sample	prop_het	prop_missing
JB121807_39_92bp	0.122146933	0.013197255
JB121807_03_rep_92bp	0.125558135	0.014780926
JB121807_05_2_92bp	0.132906894	0.009677987
JB121807_35_2_92bp	0.103672107	0.051205349
JB121807_47_2_92bp	0.078936851	0.119479148
JB121807_23_2_92bp	0.096892811	0.04293507
JB121807_27_2_92bp	0.128648649	0.023403132
JB121807_30_2_92bp	0.126575441	0.022699279
JB121807_16_2_92bp	0.119607843	0.012845328
JB121807_18_92bp	0.120028536	0.013373218
JB121807_43_92bp	0.123423903	0.009150097
JB121807_29_92bp	0.12463925	0.024458913
JB021108_01.1_92bp	0.100484262	0.27327116
JB021108_02.1_92bp	0.125900576	0.023051205
JB021108_04.1_92bp	0.127696456	0.086398029
JB021108_05_92bp	0.115153656	0.003695231
JB021108_05_rep_92bp	0.115309906	0.003519268
JB021108_06_92bp	0.128688233	0.010029914
JB021108_07.1_92bp	0.127552848	0.017772303
JB021108_08.1_92bp	0.111748948	0.080415274
JB021108_09.1_92bp	0.122324159	0.021819462
JB021108_12.1_92bp	0.126108549	0.007918353
JB021108_13.1_92bp	0.123049327	0.019004047
JB021108_16_92bp	0.129989403	0.003695231
JB021108_17.1_92bp	0.135481574	0.011613584
JB021108_19.1_92bp	0.124399359	0.011261658
JB021108_20_92bp	0.120007362	0.04399085
JB021108_22.1_92bp	0.118428544	0.072848847
JB021108_25.1_92bp	0.106836713	0.15836706
JB021108_26.1_92bp	0.125248509	0.02639451
JB021108_29_92bp	0.126368528	0.051733239
JB021108_30_92bp	0.126566637	0.003167341
JB021108_32_92bp	0.138442522	0.003519268
JB021108_34_92bp	0.125848468	0.040823509
JB021108_35_92bp	0.116988062	0.041879289
JB021108_35_rep_92bp	0.120538966	0.033609009
JB021108_36.1_92bp	0.132062021	0.012669365
JB021108_36_rep.1_92bp	0.131907308	0.012845328
JB021108_37.1_92bp	0.130836144	0.00879817
JB021108_37_rep.1_92bp	0.13117668	0.010029914
JB021108_38.1_92bp	0.111200483	0.124934014
JB021108_39_92bp	0.084634664	0.087277846
JB021108_41.1_92bp	0.117502365	0.070033433
JB021108_44.1_92bp	0.123780812	0.00774239
JB021108_45_92bp	0.122741764	0.006510646
JB021108_46.1_92bp	0.12931187	0.005278902
JB021108_46_rep.1_92bp	0.128654971	0.007038536
JB021108_47.1_92bp	0.127060074	0.007038536
JB021108_48.1_92bp	0.122383253	0.01654056
JB021108_24_c_92bp	0.097914253	0.088861517
JB021108_33_rep_92bp	0.122273865	0.015660743
JB021108_11_2_92bp	0.123653984	0.019531937
JB021108_28_2_92bp	0.094589409	0.082878761
JB021108_40_2_92bp	0.105435375	0.032025339
JB021108_14_2_92bp	0.106367451	0.035544607
JB021108_25_2_92bp	0.089150228	0.072320957
JB021108_31_2_92bp	0.112243042	0.032729192
JB021108_23_92bp	0.117327539	0.028154144
JB021108_11_rep_92bp	0.110221205	0.077247932
BOR07_01_92bp	0.068195781	0.14077072
BOR07_02.1_92bp	0.131457891	0.005454865
BOR07_03_92bp	0.103126714	0.037656168
BOR07_04_92bp	0.131211317	0.004926975
BOR07_05.1_92bp	0.136299185	0.007214499
BOR07_06.1_92bp	0.128414331	0.007918353
BOR07_07.1_92bp	0.139975226	0.005630829
BOR07_08.1_92bp	0.125486726	0.005806792
BOR07_09_92bp	0.125176803	0.004751012
BOR07_11.1_92bp	0.132555673	0.004399085
BOR07_12.1_92bp	0.134785689	0.006510646
BOR07_13.1_92bp	0.129655906	0.007918353
BOR07_14_92bp	0.131811748	0.005454865
BOR07_15_92bp	0.126768034	0.004751012
BOR07_16_92bp	0.130914265	0.010733767
BOR07_17.1_92bp	0.140909896	0.005982756
BOR07_18_92bp	0.12938636	0.022171388
BOR07_19.1_92bp	0.129543001	0.021995425
BOR07_20.1_92bp	0.132105543	0.006334682
BOR07_21.1_92bp	0.121322784	0.132676403
BOR07_22_92bp	0.123873476	0.004223122
BOR07_01_2_92bp	0.124688279	0.012141475
BOR07_21_2_92bp	0.13022508	0.014956889
GEO020414_10_92bp	0.083992696	0.132676403
GEO020414_11_92bp	0.124445233	0.00879817
GEO020414_11_300_92bp	0.119115044	0.005806792
GEO020414_13_300_92bp	0.111645299	0.011789548
GEO020414_14_92bp	0.119163512	0.023931022
GEO020414_14_300_92bp	0.113653137	0.046278374
GEO020414_15_92bp	0.119521912	0.072496921
GEO020414_15_300_92bp	0.115422494	0.10663382
GEO020414_16_92bp	0.128581792	0.029737815
GEO020414_16_300_92bp	0.123399716	0.010381841
GEO020414_17_92bp	0.125948681	0.026218547
GEO020414_17_300_92bp	0.117712382	0.049269752
GEO020414_2_92bp	0.109443631	0.038535985
GEO020414_23_92bp	0.129455577	0.00774239
GEO020414_23_300_92bp	0.126261732	0.006334682
GEO020414_24_92bp	0.134618818	0.014428999
GEO020414_24_300_92bp	0.12533286	0.00879817
GEO020414_25_92bp	0.125665993	0.042231216
GEO020414_25_300_92bp	0.11023166	0.08850959
GEO020414_26_92bp	0.098804632	0.057891958
GEO020414_27_92bp	0.106835257	0.039767728
GEO020414_29_92bp	0.08865048	0.065106458
GEO020414_3_92bp	0.109425205	0.014253035
GEO020414_30_92bp	0.078451883	0.15889495
GEO020414_4_92bp	0.112866016	0.008446243
GEO020414_5_92bp	0.109156845	0.029561851
GEO020414_6_92bp	0.099795196	0.054900581
GEO020414_7_92bp	0.123980135	0.007918353
GEO020414_8_92bp	0.122844444	0.010205877
GEO020414_8_300_92bp	0.122102283	0.005630829
GEO020414_9_92bp	0.125968643	0.023579096
GEO020414_9_300_92bp	0.116642959	0.010381841
GEO020414_10_2_92bp	0.123258307	0.014956889
GEO020414_30_2_92bp	0.123088262	0.04504663
GEO020414_13_2_92bp	0.128774423	0.00932606
KOD03_035	0.115145044	0.011261658
KOD03_051	0.104982534	0.04293507
KOD03_052	0.110657194	0.00932606
KOD03_053	0.093266332	0.124582087
KOD03_054	0.115543576	0.020763681
KOD03_056	0.107686663	0.040823509
KOD03_057	0.108174771	0.001231744
KOD03_058	0.102986425	0.027802217
KOD03_060	0.097689898	0.101178955
KOD03_061	0.106127494	0.003519268
KOD03_062	0.089115213	0.170684498
KOD03_064	0.13047332	0.007390463
KOD03_065	0.110855728	0.004751012
KOD03_066	0.128018466	0.008974133
KOD03_067	0.105699665	0.002815414
KOD03_068	0.094965449	0.108745381
KOD03_069	0.10185847	0.015308816
KOD03_070	0.095657165	0.08023931
KOD03_071	0.104739925	0.00879817
KOD03_072	0.092494314	0.071617104
KOD03_073	0.084536877	0.086222066
KOD03_074	0.108967488	0.014956889
KOD03_075	0.092655367	0.065634348
KOD03_076	0.106616325	0.021291571
KOD03_077	0.1	0.042759106
KOD03_078	0.105635047	0.003871195
KOD03_079	0.095535376	0.06985747
KOD03_080	0.101048618	0.077071969
KOD03_081	0.109187279	0.004047158
KOD03_082	0.106100796	0.004926975
KOD03_083	0.097992701	0.03572057
KOD03_084	0.109058615	0.00932606
KOD03_085	0.102440763	0.012317438
KOD03_086	0.091192661	0.040999472
KOD03_088	0.092156414	0.230512053
KOD03_089	0.113447606	0.004223122
KOD03_090	0.103714337	0.019355974
KOD03_091	0.079667323	0.196023227
KOD03_093	0.100504323	0.023051205
KOD03_094	0.099864787	0.08903748
KOD03_095	0.093005671	0.069153616
KOD03_096	0.109349955	0.011965511
KOD03_097	0.101759478	0.029913778
AD06_001	0.130792628	0.01654056
AD06_003	0.106560348	0.029033961
AD06_004	0.112676056	0.013021292
AD06_005	0.090435914	0.188632764
AD06_006	0.10272962	0.045926447
AD06_007	0.109025271	0.025162766
AD06_008	0.121492007	0.00932606
AD06_009	0.105750675	0.088157663
AD06_010	0.102811245	0.12370227
AD06_012	0.095461979	0.139187049
AD06_013	0.106347126	0.060179483
AD06_014	0.115309446	0.189688545
AD06_015	0.092716618	0.159246877
AD06_016	0.093896714	0.212915714
AD06_017	0.125580564	0.014956889
AD06_018	0.111190306	0.012493401
AD06_019	0.114623739	0.092732712
AD06_020	0.127073838	0.034840753
AD06_021	0.104139834	0.043638923
AD06_023	0.104197349	0.044166813
AD06_024	0.084525644	0.200598276
AD06_025	0.111131059	0.019883864
AD06_026	0.099817036	0.134436037
AD06_027	0.100190235	0.167517156
AD06_029	0.112281328	0.014253035
AD06_030	0.112716248	0.013373218
AD06_032	0.110969388	0.034312863
AD06_033	0.096590909	0.163821925
AD06_035	0.109836947	0.017948267
AD06_036	0.117825312	0.012845328
AD06_037	0.108060404	0.102762625
AD06_038	0.107156599	0.085342249
AD06_039	0.096265918	0.18476157
AD06_040	0.10610127	0.01654056
AD06_041	0.110771993	0.019883864
AD06_042	0.100843486	0.061235263
AD06_043	0.095238095	0.183353862
AD06_044	0.153085087	0.021819462
AD06_045	0.116522367	0.024458913
AD06_046	0.104727273	0.032201302
AD06_047	0.108766234	0.024458913
AD06_048	0.112475529	0.011261658
WC05_002	0.098189797	0.037656168
WC05_003	0.106702413	0.015484779
WC05_004	0.098627451	0.102586662
WC05_005	0.105349345	0.032905156
WC05_006	0.10455192	0.010381841
WC05_007	0.092637055	0.120534929
WC05_008	0.106934886	0.002815414
WC05_009	0.098178506	0.033960936
WC05_011	0.091233971	0.162942108
WC05_012	0.113425926	0.011789548
WC05_013	0.082036461	0.208516629
WC05_015	0.138524299	0.007918353
WC05_016	0.105961436	0.005278902
WC05_017	0.158327377	0.015308816
WC05_018	0.102423492	0.005278902
WC05_019	0.084171628	0.14288228
WC05_020	0.076233184	0.215203238
WC05_021	0.094261524	0.064754531
WC05_022	0.098653914	0.006510646
WC05_023	0.099908676	0.036600387
WC05_024	0.087507667	0.139363012
WC05_025	0.097101192	0.010557804
WC05_026	0.082885037	0.116839697
WC05_027	0.098219644	0.120358965
WC05_028	0.092657343	0.194791483
WC05_029	0.107471671	0.006158719
WC05_030	0.089854503	0.10505015
WC05_031	0.094761732	0.032553229
WC05_032	0.103387125	0.00774239
WC05_033	0.099552372	0.017244413
WC05_034	0.09460501	0.086749956
WC05_035	0.102284898	0.014253035
WC05_036	0.102133044	0.026570473
WC05_037	0.102723451	0.037304241
WC05_040	0.102740937	0.004926975
WC05_041	0.102121539	0.021291571
WC05_044	0.098190727	0.066338202
WC05_045	0.087073423	0.149216963
WC05_046	0.093683312	0.175435509
WC05_047	0.101617888	0.032025339
WC05_048	0.094515539	0.037480204
HS04_001	0.105591168	0.011789548
HS04_002	0.102126879	0.040295619
HS04_003	0.108362989	0.011085694
HS04_004	0.096272098	0.084286468
HS04_005	0.102142857	0.014604962
HS04_007	0.100545455	0.032201302
HS04_008	0.124022743	0.009677987
HS04_009	0.099110546	0.030617632
HS04_010	0.091119529	0.163821925
HS04_011	0.082570855	0.211508006
HS04_012	0.112803258	0.006334682
HS04_013	0.087522532	0.121414746
HS04_015	0.143641516	0.006510646
HS04_016	0.105876125	0.002815414
HS04_017	0.105030891	0.003167341
HS04_018	0.105235232	0.005102939
HS04_019	0.100208768	0.072848847
HS04_020	0.10088968	0.011085694
HS04_021	0.10174472	0.041879289
HS04_022	0.09770318	0.004047158
HS04_023	0.103912648	0.033081119
HS04_024	0.104350966	0.02533873
HS04_025	0.10205174	0.013725145
HS04_026	0.086300543	0.125285941
HS04_027	0.099095905	0.007390463
HS04_028	0.090959718	0.052085166
HS04_029	0.102204053	0.010029914
HS04_030	0.088138226	0.093612529
HS04_031	0.107781188	0.02533873
HS04_032	0.109325327	0.003695231
HS04_033	0.102760463	0.011965511
HS04_034	0.092572062	0.047686081
HS04_035	0.108137045	0.013901109
HS04_036	0.090151515	0.07091325
HS04_037	0.103090942	0.015132852
HS04_038	0.082926829	0.170332571
HS04_040	0.100794351	0.003167341
HS04_041	0.099946072	0.021115608
HS04_042	0.091739627	0.075488298
HS04_043	0.072925398	0.160302657
HS04_044	0.102168847	0.018300194
HS04_045	0.098219203	0.041527362
HS04_046	0.104413348	0.019180011
HS04_047	0.101245552	0.011085694
HS04_048	0.096122923	0.015132852
PS12_001	0.098304473	0.024458913
PS12_002	0.100636206	0.087277846
PS12_003	0.100106686	0.010381841
PS12_004	0.075414781	0.183353862
PS12_005	0.103485064	0.010381841
PS12_006	0.102260685	0.003695231
PS12_007	0.105705018	0.077775823
PS12_008	0.102821869	0.002287524
PS12_009	0.093290614	0.066338202
PS12_010	0.088101161	0.15115256
PS12_011	0.089271255	0.130740806
PS12_012	0.102314897	0.004223122
PS12_013	0.090568862	0.059651592
PS12_014	0.155396967	0.013725145
PS12_015	0.156061145	0.010029914
PS12_016	0.109538135	0.005630829
PS12_017	0.110248721	0.002463488
PS12_018	0.097647267	0.005278902
PS12_019	0.097003155	0.107513637
PS12_020	0.103820304	0.005102939
PS12_021	0.101217518	0.031673412
PS12_022	0.102564103	0.004926975
PS12_023	0.08443327	0.160126694
PS12_024	0.106041704	0.012669365
PS12_025	0.110381544	0.008446243
PS12_026	0.097341888	0.040119655
PS12_027	0.104748355	0.010557804
PS12_028	0.093784278	0.037480204
PS12_029	0.114777364	0.008094316
PS12_030	0.093797277	0.069505543
PS12_031	0.107594937	0.0269224
PS12_032	0.108910891	0.004751012
PS12_033	0.102790279	0.022523315
PS12_034	0.099687328	0.043286996
PS12_035	0.106028369	0.007566426
PS12_036	0.100250179	0.015308816
PS12_037	0.10067712	0.012493401
PS12_038	0.090137039	0.088333627
PS12_039	0.084525939	0.213091677
PS12_040	0.102790533	0.003695231
PS12_041	0.116955893	0.026570473
PS12_042	0.087679202	0.153088158
PS12_044	0.093624038	0.039591765
PS12_045	0.097284226	0.054020764
PS12_046	0.099554764	0.011965511
PS12_047	0.100658012	0.010557804
PS12_048	0.10628796	0.014956889
GS13_001	0.106352858	0.005630829
GS13_002	0.096942095	0.188632764
GS13_003	0.104441554	0.053140947
GS13_004	0.101425325	0.148161182
GS13_005	0.112122835	0.014428999
GS13_006	0.11136891	0.014077072
GS13_007	0.086645469	0.114552173
GS13_008	0.107455748	0.015836706
GS13_009	0.088509317	0.206756995
GS13_010	0.096820809	0.147633292
GS13_011	0.101220388	0.019531937
GS13_012	0.11651002	0.00774239
GS13_013	0.099555061	0.050853422
GS13_014	0.107828656	0.046982228
GS13_015	0.104337632	0.099419321
GS13_016	0.105770949	0.015132852
GS13_017	0.102867384	0.01812423
PWS12_001	0.107338638	0.004926975
PWS12_002	0.111935028	0.003343305
PWS12_003	0.105196221	0.031497449
PWS12_004	0.099124844	0.014780926
PWS12_005	0.109794908	0.004751012
PWS12_006	0.10576583	0.005102939
PWS12_007	0.101546488	0.055604434
PWS12_008	0.106787491	0.009677987
PWS12_009	0.113994273	0.016716523
PWS12_010	0.10777915	0.002463488
PWS12_011	0.106006435	0.015660743
PWS12_012	0.09887218	0.063874714
PWS12_013	0.107296137	0.016012669
PWS12_014	0.110561639	0.003695231
PWS12_015	0.108483755	0.025162766
PWS12_016	0.114544486	0.009150097
PWS12_017	0.115635466	0.001759634
PWS12_018	0.113227894	0.020939645
PWS12_019	0.106382979	0.024106986
PWS12_020	0.109921485	0.013901109
PWS12_021	0.112126097	0.01759634
PWS12_022	0.113758509	0.017772303
PWS12_023	0.111090776	0.038535985
PWS12_025	0.106363961	0.015660743
PWS12_031	0.108431583	0.014956889
PWS12_033	0.109537469	0.018476157
PWS12_041	0.107760928	0.013725145
PWS12_054	0.110030073	0.005278902
PWS12_055	0.098525989	0.092732712
PWS12_056	0.093028096	0.154495865
PWS12_057	0.099946072	0.021115608
PWS12_063	0.107011747	0.041351399
PWS12_064	0.097009346	0.058595812
PWS12_066	0.106367841	0.010733767
PWS12_069	0.095767575	0.018828084
PWS12_075	0.138199858	0.006862573
PWS12_076	0.099509989	0.066338202
PWS12_077	0.107129931	0.027626254
PWS12_079	0.113177471	0.006510646
PWS12_094	0.112784651	0.01865212
PWS12_095	0.108392857	0.014604962
PWS12_096	0.112325331	0.017772303
PWS12_097	0.10614627	0.03519268
PWS12_131	0.108668454	0.015484779
PWS12_132	0.098448467	0.047334154
PWS12_133	0.101112817	0.082878761
PWS12_134	0.096803323	0.025690656
UP03_009	0.116312568	0.022699279
UP03_017	0.121162281	0.037128277
UP03_025	0.118592058	0.025162766
UP03_033	0.092577813	0.118071441
UP03_041	0.108672377	0.013901109
UP03_002	0.10648855	0.077951786
UP03_010	0.111683239	0.008974133
UP03_018	0.12885954	0.014077072
UP03_042	0.108234853	0.061939117
UP03_003	0.108707218	0.00774239
UP03_011	0.123382379	0.007390463
UP03_019	0.115647482	0.021643498
UP03_027	0.10281079	0.067218019
UP03_035	0.105776173	0.025162766
UP03_043	0.114430563	0.028154144
UP03_004	0.109747421	0.010733767
UP03_012	0.101279707	0.037480204
UP03_020	0.106232558	0.054196727
UP03_028	0.106629943	0.10557804
UP03_036	0.113507779	0.004751012
UP03_044	0.148860399	0.011789548
UP03_005	0.110949964	0.029385888
UP03_013	0.115234375	0.008974133
UP03_021	0.108909123	0.014428999
UP03_029	0.110616316	0.012141475
UP03_037	0.105205479	0.036600387
UP03_045	0.128076163	0.020411754
UP03_014	0.113547237	0.012845328
UP03_022	0.106860632	0.020235791
UP03_030	0.117105961	0.005278902
UP03_038	0.107522936	0.040999472
UP03_046	0.108680185	0.010733767
UP03_007	0.100110416	0.043814887
UP03_015	0.100985222	0.071265177
UP03_023	0.099383388	0.029737815
UP03_047	0.108117881	0.026746437
UP03_008	0.105150977	0.00932606
UP03_016	0.105443548	0.127221538
UP03_024	0.086305592	0.200774239
UP03_032	0.111070582	0.03519268
UP03_040	0.113733906	0.016012669
UP03_048	0.105263158	0.023755059
